model,horizon,l1
b,1,0.15341752767562866
b,2,0.16118435561656952
b,3,0.16681364178657532
b,4,0.1706293821334839
b,5,0.17490264773368835
b,6,0.17894691228866577
b,7,0.1847373992204666
b,8,0.1891985386610031
b,9,0.1927829384803772
b,10,0.19673267006874084
b,11,0.2009442150592804
b,12,0.20401008427143097
b,13,0.20738838613033295
b,14,0.2110089361667633
b,15,0.2149580717086792
b,16,0.2184217870235443
b,17,0.22248128056526184
b,18,0.2254665344953537
b,19,0.22871126234531403
b,20,0.2309996336698532
b,21,0.23272661864757538
b,22,0.23435352742671967
b,23,0.23516036570072174
b,24,0.23471371829509735
b,25,0.23354272544384003
b,26,0.23043809831142426
b,27,0.22914330661296844
b,28,0.22565118968486786
b,29,0.22347566485404968
b,30,0.22060728073120117
b,31,0.21813911199569702
b,32,0.21614696085453033
b,33,0.2139490395784378
b,34,0.21174916625022888
b,35,0.209392711520195
b,36,0.2074594348669052
b,37,0.20651385188102722
b,38,0.2049424648284912
b,39,0.20415082573890686
b,40,0.20364698767662048
b,41,0.20296545326709747
b,42,0.20248840749263763
b,43,0.2024979442358017
b,44,0.2025090456008911
b,45,0.2028190940618515
b,46,0.20361605286598206
b,47,0.2038138508796692
b,48,0.20417925715446472
b,49,0.20520922541618347
b,50,0.2061278223991394
abc,1,0.14225071668624878
abc,2,0.14900070428848267
abc,3,0.1529964953660965
abc,4,0.15668411552906036
abc,5,0.15998120605945587
abc,6,0.16298581659793854
abc,7,0.16510537266731262
abc,8,0.1672985553741455
abc,9,0.17000892758369446
abc,10,0.17295411229133606
abc,11,0.1767352968454361
abc,12,0.17956024408340454
abc,13,0.18304726481437683
abc,14,0.18630562722682953
abc,15,0.19006657600402832
abc,16,0.19364884495735168
abc,17,0.1972019076347351
abc,18,0.20066475868225098
abc,19,0.20314432680606842
abc,20,0.20556288957595825
abc,21,0.2074921429157257
abc,22,0.2082144021987915
abc,23,0.20861397683620453
abc,24,0.20979204773902893
abc,25,0.20936483144760132
abc,26,0.20941731333732605
abc,27,0.20993947982788086
abc,28,0.2098758965730667
abc,29,0.2092404067516327
abc,30,0.20925289392471313
abc,31,0.20920446515083313
abc,32,0.2080737054347992
abc,33,0.2067680060863495
abc,34,0.2063874751329422
abc,35,0.2059110850095749
abc,36,0.20441573858261108
abc,37,0.20317235589027405
abc,38,0.2024592012166977
abc,39,0.20133672654628754
abc,40,0.20163509249687195
abc,41,0.20177234709262848
abc,42,0.2023283988237381
abc,43,0.20317892730236053
abc,44,0.20221887528896332
abc,45,0.20288610458374023
abc,46,0.2052847146987915
abc,47,0.2075170874595642
abc,48,0.20824025571346283
abc,49,0.2106124609708786
abc,50,0.21225391328334808
